"id","user_id","property_no","collection_mode","cluster_manager","manager","property_type","gender","near_university","rent","city_id","address","locality","sub_locality","city","state","pincode","country","name","latitute","longitute","slug","meta_title","meta_keywords","meta_description","status","sold_status","order_by","created_at","updated_at"
"54","604","PM024","PLACIO","953","1080","flagship","","46,47,48,49,50,51,52,53,65,66,67,68,69","","11","","jc-40, Ignu Road ,Freedom Fighter Colony ,oppsite Junior Sent Marry School,Saket New Delhi 110017","Kamla Nagar","South Delhi","Delhi","110017","India","Jawahar Nagar","28.509781232669386","77.1986037613159","pg-placio-ashoka-inn-jawahar-nagar-kamla-nagar-south-delhi","Placio Ashoka Inn -Pg for boys in  saket, Boys Pg nearby Ignu road saket  new Delhi","Pg for boys in  Indore, Boys pg nearby Saket New Delhi, PG in Saket, boys PG in Saket, Students Accommodation for Boys in Saket, Accommodation for Boys fully furnished pg in Saket New Delhi","Book you fully furnished PG for girls in Saket, New Delhi with Food and Saftey assurance.","1","","4","2018-07-11 08:28:22",""
"55","584","PF017","","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","North Campus, New Delhi, Delhi, India","University Enclave","North Delhi","Delhi","110007","India","University Enclave","28.6809423249429","77.19719673837585","pg-placio-pearl-university-enclave-university-enclave-north-delhi","","","","0","","7","2018-06-29 07:46:39",""
"56","584","PF028","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","10 A Part C Under Hill Lane Civil Lines Delhi","University Enclave","North Delhi","Delhi","110007","India","University Enclave","28.687193","77.21033599999998","pg-placio-sangam-residency-university-enclave-university-enclave-north-delhi","","","","0","","15","2018-07-03 14:04:40",""
"57","584","PF010","RENTAL","950","1033","flagship","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","2216,J D House Outram Lane GTB Nagar Delhi","University Enclave","North Delhi","Delhi","110007","India","University Enclave","28.687193","77.21033599999998","pg-placio-lily-university-enclave-university-enclave-north-delhi","Placio Lily -Pg for girls in Outram Lane  GTB Nagar, Girls Pg nearby GTB Nagar  new Delhi","Pg for girls in  GTB Nagar, Girls Pg nearby Outram Lane in GTB Nagar New Delhi, PG in GTB Nagar, Girls Pg in GTB Nagar, Students Accommodation for girls in GTB Nagar, Accommodation for Grils fully furnished pg in GTB Nagar","Book you fully furnished PG for girls in GTB Nagar, New Delhi with Food and Saftey assurance.","1","Filling Fast","2","2018-07-17 09:35:57",""
"58","584","PF022","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","D 19 Single Story vijay nagar Delhi 110009","Kamla Nagar","North Delhi","Delhi","110007","India","Bungalow Road","28.6818359","77.20711919999997","pg-placio-oasis-3-bungalow-road-kamla-nagar-north-delhi","Placio Oasis 3 -Pg for girls in vijay nagar, Girls Pg nearby vijay nagar  new Delhi","Pg for girls in  vijay nagar, Girls Pg in Vijay Nagar New Delhi, PG in Vijay Nagar, Girls Pg in vijay nagar, Students Accommodation for girls in vijay nagar, Accommodation for Girls fully furnished pg in vijay nagar","Book you fully furnished PG for girls in Vijay Nagar, New Delhi with Food and Saftey assurance.","1","","12","2018-07-09 14:36:38",""
"59","604","PM025","PLACIO","953","0","flagship","",",46,47,48,49,50,51,52,53,65,66,67,68,69","","11","","South Delhi, New Delhi, Delhi, India","","South Delhi","Delhi","110025","India","","28.4816551","77.18728569999996","pg-placio-pride-stay---south-delhi","Placio Pride Stay -Pg for boys in  south Delhi, Boys Pg nearby south Campus new Delhi","Pg for boys in  south Delhi, Boys pg nearby South campus, PG in Delhi, Students Accommodation for Boys in South Delhi, Accommodation for Boys fully furnished pg in South Delhi","Book you fully furnished PG for boys in south Delhi, New Delhi with Food and Saftey assurance.","1","","5","2018-07-09 12:36:20",""
"60","604","PM013","RENTAL","644","720","flagship","","17,18,19,20,21,22,23,24","","9","","R-3 House, Rita Block, Near Metro Pillar No 43, Shakarpur, Delhi-110092","Laxmi Nagar","Laxmi Nagar","Delhi","110092","India","Laxmi Nagar Metro Station","28.630665","77.27741700000001","pg-placio-jp-house-laxmi-nagar-metro-station-laxmi-nagar-laxmi-nagar","Placio JP House-Pg for girls in Shakarpur, girls Pg nearby Shakarpur laxmi Nagar","PG in Shakarpur, Girls PG in Laxmi Nagar, sharing Pg in Laxmi Nagar, Students Accommodation for girls in Shakarpur, Accommodation for girls, fully furnished pg in Shakarpur Laxmi Nagar","Book you fully furnished PG for girls in Shakarpur, Laxmi Nagar with Food and Saftey assurance.","1","Sold Out","0","2018-07-09 10:53:32",""
"61","604","PF034","RENTAL","651","0","flagship","","46,47,48,49,50,51,52,53,65,66,67,68,69","","11","","Masjid Moth, Greater Kailash, New Delhi, Delhi, India","Greater Kailash","South Delhi","Delhi","110048","India","Masjid Moth","28.5436935","77.23907839999993","pg-placio-crystal-homez-masjid-moth-greater-kailash-south-delhi","Placio Crystal Homez -Pg for Girls in  Greater Kailash, Girls Pg nearby Greater Kailash  new Delhi","Pg for Girls in  Greater Kailash, Girls pg nearby Greater Kailash New Delhi, PG in Greater Kailash, Girls PG in Greater Kailash, Students Accommodation for Girls in Greater Kailash, Accommodation for Girls fully furnished pg in Greater Kailash","Book you fully furnished PG for girls in Greater Kailash, New Delhi with Food and Saftey assurance.","1","","7","2018-07-09 12:40:54",""
"62","584","PF021","PLACIO","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","Jawahar Nagar, Kamla Nagar, Delhi, India","Kamla Nagar","North Delhi","Delhi","110007","India","Jawahar Nagar","28.6808888","77.20654309999998","pg-placio-oasis-2-jawahar-nagar-kamla-nagar-north-delhi","Placio Oasis 2 -Pg for girls in Kamla Nagar, Girls Pg nearby Jawahar Nagar Kamla Nagar  new Delhi","Pg for girls in  Jawahar Nagar, Girls Pg nearby Outram Lane in Kamla Nagar New Delhi, PG in Kamla Nagar, Girls Pg in Kamla Nagar, Students Accommodation for girls in Kamla Nagar, Accommodation for Girls fully furnished pg in Jawahar Nagar New Delhi","Book you fully furnished PG for girls in Kamla Nagar near Jawahar Nagar, New Delhi with Food and Saftey assurance.","1","","11","2018-07-09 14:33:05",""
"63","584","PF018","","645","656","revenue-sharing","","40,41,42,43,44,45,55,56,57,58,59,60,61,62","","10","","Flat no. 14 . Lehnga Singh Market, Near Malka Ganj Chowk, Delhi-110007","University Enclave","North Delhi","Delhi","110007","India","University Enclave","28.687193","77.21033599999998","pg-placio-vidhya-niwas-1-university-enclave-university-enclave-north-delhi","Placio Vidhya Niwas 1 -Pg for girls in Lehnga Singh Market, Girls Pg nearby Malkaganj Chowk Lehnga Singh Market  new Delhi","Pg for girls in Lehnga Singh Market, Girls Pg nearby Malkaganj Chowk in Lehnga Singh Market New Delhi, PG in Lehnga Singh Market, Girls Pg in Lehnga Singh Market, Students Accommodation for girls in Lehnga Singh Market, Accommodation for Girls fully furnished pg in Lehnga Singh Market","Book you fully furnished PG for girls in Lehnga Singh Market near Malkaganj Chowk, New Delhi with Food and Saftey assurance.","1","","16","2018-07-09 14:59:57",""
