"id","property_id","block_name","floor_name","no_of_room"
"313","78","","Fourth Floor","2"
"323","42","","Ground Floor ","3"
"324","42","","Second Floor ","10"
"325","42","","Third Floor ","10"
"326","42","","Fourth Floor ","10"
"327","42","","Fifth Floor ","10"
"328","42","","Sixth Floor","12"
"330","83","","Ground Floor","8"
"331","83","","First Floor","8"
"332","83","","Second Floor","8"
"333","14","","Ground Floor ","4"
"334","58","","Third Floor","4"
"335","58","","Fourth Floor","1"
"336","84","","First Floor","6"
"337","84","","Second Floor","6"
"338","84","","Third Floor","6"
"339","59","","First Floor ","3"
"340","59","","Fourth Floor ","1"
"341","61","","First Floor ","6"
"342","61","","Second Floor","6"
"343","61","","Third Floor ","6"
"344","61","","Fourth Floor ","4"
"345","54","","Ground Floor","2"
"346","1","","fourth","9"
"347","85","","Upper Ground","8"
"348","85","","First ","7"
"349","85","","Second","7"
"350","85","","Third","7"
"351","86","","First","6"
"352","86","","Second","6"
"353","86","","Third","6"
"354","86","","fourth","6"
"355","65","","Third Floor","1"
"358","22","","Terrace Floor","3"
