"id","user_id","cluster_manager_id","manager_id","property_id","block_id","floor_id","room_id","bed_id","tenant_id","booking_category","expected_date_move_in","stay_tenure","status","create_date","checkout_date","move_in_date"
"339","654","644","654","51","0","204","1116","2164","1278","instant-booking","","2","0","2018-06-25","2018-06-29","2018-04-28"
"340","654","644","654","51","0","204","1116","2165","1279","instant-booking","","2","0","2018-06-25","2018-07-12","2018-04-30"
"341","1177","58","0","40","0","164","908","1863","273","instant-booking","","12","1","2018-06-25","","2018-06-25"
"342","1177","58","0","73","0","281","1640","3261","1281","instant-booking","","12","1","2018-06-25","","2018-06-25"
"343","1177","58","0","73","0","280","1637","3256","1282","instant-booking","","12","1","2018-06-25","","2018-06-25"
"344","896","650","896","31","0","135","737","1494","1280","instant-booking","","1","1","2018-06-25","","2018-06-25"
"345","896","650","896","31","0","129","727","1466","902","instant-booking","","1","0","2018-06-25","2018-07-03","2018-06-25"
"346","896","650","896","31","0","129","727","1467","901","instant-booking","","1","0","2018-06-25","2018-07-03","2018-06-25"
"347","896","650","896","31","0","129","727","1468","897","instant-booking","","1","0","2018-06-25","2018-07-03","2018-06-25"
"348","896","650","896","31","0","130","730","1475","903","instant-booking","","1","0","2018-06-25","2018-07-13","2018-06-25"
"349","896","650","896","31","0","130","731","1478","898","instant-booking","","1","0","2018-06-25","2018-07-17","2018-06-25"
"350","896","650","896","31","0","130","732","1480","899","instant-booking","","1","0","2018-06-25","2018-07-15","2018-06-25"
"351","896","650","896","31","0","130","732","1481","1202","instant-booking","","1","1","2018-06-25","","2018-06-25"
"352","816","644","816","52","0","209","1146","2227","1283","instant-booking","","1","0","2018-06-25","2018-06-29","2018-06-25"
"353","647","647","648","29","0","109","1888","3785","1284","pre-booking","2018-07-01","12","3","2018-06-25","",""
"354","647","647","648","28","0","307","1847","3699","1285","pre-booking","2018-07-10","12","3","2018-06-25","",""
"355","1080","953","1080","54","0","219","1199","2381","1268","instant-booking","","11","1","2018-06-25","","2018-06-24"
"356","1080","953","1080","54","0","216","1179","2342","1264","instant-booking","","11","1","2018-06-25","","2018-06-18"
"357","1080","953","1080","54","0","218","1191","2365","1288","instant-booking","","11","1","2018-06-25","","2018-07-19"
"358","1080","953","1080","54","0","216","1177","2337","1290","instant-booking","","11","0","2018-06-25","2018-07-20","2018-07-19"
"359","1080","953","1080","54","0","218","1191","2366","1265","instant-booking","","11","1","2018-06-25","","2018-06-22"
"360","651","651","0","22","0","89","547","1103","1291","pre-booking","2018-07-19","11","3","2018-06-25","","2018-07-19"
"361","1033","950","1033","57","0","225","1231","2465","1292","instant-booking","","3","1","2018-07-16","","2018-07-16"
"362","720","644","720","60","0","237","1338","2668","1294","instant-booking","","6","1","2018-06-30","","2018-06-30"
"363","512","512","3","1","0","4","30","61","1293","pre-booking","2018-07-02","12","3","2018-06-25","",""
"364","58","58","0","41","0","170","937","1922","1298","instant-booking","","12","1","2018-06-25","","2018-07-02"
"365","58","58","0","41","0","170","936","1919","1299","instant-booking","","12","1","2018-06-25","","2018-07-01"
