"id","property_id","user_id","page_name","updated_date"
"1109","79","1273","detail","2018-07-03 17:32:02"
"1110","69","1273","detail","2018-07-03 17:34:11"
"1111","81","1273","detail","2018-07-03 17:34:23"
"1112","80","1273","detail","2018-07-03 17:34:32"
"1113","56","1273","detail","2018-07-03 17:34:40"
"1114","22","1273","detail","2018-07-03 17:34:57"
"1115","54","1273","detail","2018-07-03 17:35:03"
"1116","54","1273","detail","2018-07-03 17:35:10"
"1117","49","1273","detail","2018-07-03 17:35:18"
"1118","59","1273","detail","2018-07-03 17:35:31"
"1119","50","1273","detail","2018-07-03 17:35:39"
"1120","52","1","detail","2018-07-03 18:24:47"
"1121","72","611","bed","2018-07-04 09:58:09"
"1122","16","604","amenities","2018-07-04 11:28:27"
"1123","3","604","amenities","2018-07-04 11:29:10"
"1124","14","604","amenities","2018-07-04 11:29:56"
"1125","74","604","amenities","2018-07-04 11:31:30"
"1126","41","604","amenities","2018-07-04 11:40:20"
"1127","70","604","amenities","2018-07-04 11:41:12"
"1128","85","1177","floor","2018-07-04 11:58:23"
"1129","85","1177","room","2018-07-04 12:05:57"
"1130","85","1177","bed","2018-07-04 12:22:44"
"1131","85","1177","gallery","2018-07-04 12:22:47"
"1132","85","1177","amenities","2018-07-04 12:24:15"
"1133","86","1177","localtity","2018-07-04 12:35:35"
"1134","86","1177","detail","2018-07-04 12:35:46"
"1135","86","1177","floor","2018-07-04 12:50:07"
"1136","86","1177","floor","2018-07-04 12:50:08"
"1137","86","1177","floor","2018-07-04 12:50:43"
"1138","86","1177","floor","2018-07-04 12:51:17"
"1139","86","1177","room","2018-07-04 12:55:22"
"1140","86","1177","bed","2018-07-04 13:01:38"
"1141","86","1177","gallery","2018-07-04 13:01:44"
"1142","86","1177","amenities","2018-07-04 13:01:47"
"1143","86","1177","bed","2018-07-04 14:17:15"
"1144","86","1177","gallery","2018-07-04 14:17:21"
"1145","86","1177","amenities","2018-07-04 14:18:00"
"1146","85","604","detail","2018-07-04 15:07:24"
"1147","85","604","amenities","2018-07-04 15:07:51"
"1148","86","604","localtity","2018-07-04 15:09:56"
"1149","86","604","detail","2018-07-04 15:10:23"
"1150","86","604","amenities","2018-07-04 15:10:47"
"1151","76","1177","detail","2018-07-04 18:31:16"
"1152","62","1177","detail","2018-07-04 18:32:10"
"1153","58","1177","detail","2018-07-04 18:32:52"
