"id","property_id","cluster_manager_id","manager_id","tenant_id","bed_id","booking_category","stay_tenure","payment_type","booking_amount","move_in_charge","deposit_price","discount_price","bed_price","due_fee","total_price","collect_fee","create_date","status"
"63","11","512","81","507","723","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-19","0"
"64","1","512","3","151","34","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-19","1"
"65","11","512","81","347","728","pre-booking","","half-yearly","","","0","0","156000","161500","161500","0","2018-06-19","0"
"66","1","512","3","169","36","pre-booking","","half-yearly","","","0","0"," 192000 ","197500","197500","0","2018-06-19","1"
"67","11","512","81","927","743","instant-booking","","half-yearly","","","0","0","240000","240000","240000","33500","2018-07-03","1"
"68","1","512","3","908","37","instant-booking","","half-yearly","","","0","0"," 288000 ","288500","289000","500","2018-06-19","0"
"69","11","512","81","928","4209","instant-booking","","half-yearly","","","0","0","180000","180000","180000","5500","2018-07-03","1"
"70","1","512","3","20","54","pre-booking","","half-yearly","","","0","0"," 192000 ","197500","197500","0","2018-06-19","1"
"71","11","512","81","929","738","instant-booking","","half-yearly","","","0","0","240000","245500","245500","0","2018-06-19","0"
"72","11","512","81","933","4137","instant-booking","","half-yearly","","","0","0","180000","180000","180000","74500","2018-07-03","1"
"73","1","512","3","912","69","instant-booking","","half-yearly","","","0","0"," 240000 ","125500","245500","120000","2018-06-19","1"
"74","11","512","81","363","768","pre-booking","","half-yearly","","","0","0","168000","168000","168000","0","2018-07-03","1"
"75","11","512","81","936","761","instant-booking","","half-yearly","","","0","0","180000","180000","180000","0","2018-07-03","1"
"76","11","512","81","337","752","pre-booking","","half-yearly","","","0","0","156000","156000","156000","0","2018-07-03","1"
"77","11","512","81","366","774","pre-booking","","half-yearly","","","0","0","156000","156000","156000","0","2018-07-03","1"
"78","11","512","81","937","770","pre-booking","","half-yearly","5000","500","0","0","180000","185500","185500","0","2018-07-03","1"
"79","11","512","81","342","4106","pre-booking","","half-yearly","5000","500","0","0","180000","185500","185500","0","2018-07-03","1"
"80","47","647","648","959","2069","instant-booking","","monthly","","","6750","250","84000","83500","85000","1500","2018-06-19","0"
"81","47","647","648","960","2060","instant-booking","","monthly","","1000","6750","-3000","84000","67500","82000","14500","2018-06-19","1"
"82","47","647","648","961","2061","instant-booking","","monthly","","1000","6750","-3000","84000","67500","82000","14500","2018-06-19","1"
"83","1","512","3","590","39","instant-booking","","half-yearly","","","0","0"," 240000 ","240000","245500","5500","2018-06-19","1"
"84","1","512","3","149","27","pre-booking","","half-yearly","5000","","0","0"," 216000 ","221000","221000","0","2018-06-28","1"
"85","1","512","3","962","18","instant-booking","","half-yearly","","","0","0"," 192000 ","197500","197500","0","2018-06-19","1"
"86","11","512","81","355","732","pre-booking","","half-yearly","5000","500","0","6000","180000","179500","179500","0","29-06-2018","1"
"87","11","512","81","934","4138","instant-booking","","half-yearly","","","0","0","180000","180000","180000","74500","2018-07-03","1"
"88","11","512","81","964","732","instant-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-19","0"
"89","11","512","81","966","733","instant-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-19","0"
"90","11","512","81","967","740","instant-booking","","half-yearly","5000","500","0","0","180000","185500","185500","49000","2018-07-03","1"
"91","11","512","81","354","757","pre-booking","","yearly","5000","500","0","0","240000","245500","245500","0","2018-07-03","0"
"92","11","512","81","357","754","pre-booking","","half-yearly","","","0","0","240000","245500","245500","0","2018-06-19","0"
