"id","property_id","attachment","cover","temp_id"
"382","78","52_Pictures_Coming_Soon.png","yes","0"
"386","7","93_AB6I8534-min.JPG","","0"
"388","7","29_AB6I8524-min.JPG","","0"
"389","7","35_AB6I8523-min.JPG","","0"
"390","7","90_AB6I8542-min.JPG","","0"
"391","7","56_AB6I8522-min.JPG","","0"
"392","7","3_AB6I8509-min.JPG","","0"
"393","7","3_AB6I8546-min.JPG","yes","0"
"394","7","78_AB6I8547-min.JPG","","0"
"396","7","89_AB6I8555-min.JPG","","0"
"397","7","11_AB6I8557-min.JPG","","0"
"398","7","54_AB6I8550-min.JPG","","0"
"399","7","61_AB6I8566-min.JPG","","0"
"400","7","16_AB6I8564-min.JPG","","0"
"401","7","14_AB6I8567-min.JPG","","0"
"402","7","26_AB6I8508-min1.jpg","","0"
"403","1","23_AB6I8584-min.JPG","yes","0"
"404","1","19_AB6I8589-min.JPG","","0"
"405","1","29_AB6I8587-min.JPG","","0"
"406","1","6_AB6I8588-min.JPG","","0"
"408","1","59_AB6I8582-min.JPG","","0"
"409","1","65_AB6I8591-min.JPG","","0"
"410","1","49_AB6I8601-min.JPG","","0"
"411","1","49_AB6I8604-min.JPG","","0"
"412","1","23_AB6I8606-min.JPG","","0"
"413","1","82_AB6I8597-min.JPG","","0"
"414","1","62_AB6I8608-min.JPG","","0"
"415","1","88_AB6I8607-min.JPG","","0"
"416","1","22_AB6I8609-min1.jpg","","0"
"423","75","5_ab6i8613.jpg","","0"
"424","75","66_ab6i8618.jpg","","0"
"430","75","41_25_dsc_7452.jpg","","0"
"431","75","76_22_dsc_7460.jpg","","0"
"432","75","64_56_dsc_7470.jpg","","0"
"433","75","17_48_dsc_7465.jpg","","0"
"434","75","91_71_dsc_7514.jpg","","0"
"435","34","10_AB6I8651-min.JPG","","0"
"436","34","96_AB6I8653-min.JPG","","0"
"437","34","37_AB6I8650-min.JPG","","0"
"438","34","39_AB6I8648-min.JPG","","0"
"439","34","81_AB6I8649-min.JPG","","0"
"440","34","88_AB6I8654-min.JPG","","0"
"441","34","36_AB6I8656-min.JPG","","0"
"442","34","8_AB6I8660-min.JPG","","0"
"443","34","63_AB6I8659-min.JPG","","0"
"444","34","98_AB6I8661-min.JPG","","0"
"445","34","90_AB6I8663-min.JPG","","0"
"446","34","45_AB6I8662-min.JPG","","0"
"447","34","50_AB6I8665-min.JPG","","0"
"448","34","42_AB6I8700-min.jpg","yes","0"
"449","41","30_AB6I8639-min.JPG","","0"
"450","41","72_AB6I8640-min.JPG","","0"
"451","41","29_AB6I8643-min.JPG","","0"
"452","41","79_AB6I8642-min.JPG","","0"
"453","41","2_AB6I8706-min.jpg","yes","0"
"454","40","56_AB6I8670-min.JPG","","0"
"456","40","80_AB6I8679-min.JPG","","0"
"457","40","10_AB6I8681-min.JPG","","0"
"458","40","92_AB6I8677-min.JPG","","0"
"459","40","78_AB6I8680-min.JPG","","0"
"460","40","43_AB6I8682-min.JPG","","0"
"461","40","52_AB6I8684-min.JPG","","0"
"468","38","88_AB6I8697-min.jpg","yes","0"
"470","38","95_AB6I8686-min.JPG","","0"
"471","38","74_AB6I8687-min.JPG","","0"
"472","38","67_AB6I8688-min.JPG","","0"
"473","38","80_AB6I8689-min.JPG","","0"
"474","38","64_AB6I8692-min.JPG","","0"
"475","11","23_DSC_7213-min.JPG","yes","0"
"476","40","20_Home_Care.jpg","yes","0"
"477","70","54_placio_35.jpg","","0"
"478","70","28_placio_33.jpg","yes","0"
"479","70","63_placio_36.jpg","","0"
"480","70","21_placio_321.jpg","","0"
"481","70","60_placio_381.jpg","","0"
"482","70","16_placio_311.jpg","","0"
"483","18","88_Placio-32-min.jpg","","0"
"484","18","51_Placio-33-min.jpg","yes","0"
"485","18","40_Placio-35-min1.jpg","","0"
"486","18","37_Placio-30-min1.jpg","","0"
"487","72","56_placio_38.jpg","","0"
"488","72","90_placio_32.jpg","","0"
"489","72","79_placio_33.jpg","","0"
"490","72","17_placio_39.jpg","","0"
"491","72","55_placio_37.jpg","","0"
"492","72","10_placio_40.jpg","","0"
"493","72","47_placio_361.jpg","","0"
"494","72","44_placio_411.jpg","yes","0"
"495","74","13_placio_30.jpg","","0"
"496","74","27_placio_36.jpg","","0"
"497","74","6_placio_37.jpg","","0"
"498","74","79_placio_35.jpg","","0"
"499","74","97_placio_33.jpg","","0"
"500","74","10_placio_31.jpg","yes","0"
"501","74","40_placio_321.jpg","","0"
"502","3","43_placio_31.jpg","","0"
"503","3","45_placio_32.jpg","","0"
"504","3","52_placio_30.jpg","","0"
"505","3","60_placio_36.jpg","","0"
"506","3","84_placio_33_P9Im4q.jpg","yes","0"
"507","3","5_placio_34.jpg","","0"
"508","33","91_placio_32.jpg","","0"
"509","33","10_placio_33.jpg","","0"
"511","33","48_placio_34.jpg","","0"
"512","33","14_placio_33.jpg","","0"
"513","16","72_AB6I8630-min.JPG","yes","0"
"514","16","66_AB6I8627-min.JPG","","0"
"515","16","67_AB6I8631-min.JPG","","0"
"516","16","76_AB6I8635-min.JPG","","0"
"517","16","76_AB6I8629-min.JPG","","0"
"518","16","11_AB6I8634-min.JPG","","0"
"522","75","63_ab6i8621-min.jpg","","0"
"523","75","94_ab6i8622-min.jpg","","0"
"524","75","90_ab6i8619-min.jpg","yes","0"
"525","11","55_Placio-36-min.jpg","","0"
"526","11","7_Placio-42-min.jpg","","0"
"527","11","90_Placio-34-min.jpg","","0"
"528","11","89_Placio-30-min.jpg","","0"
"530","11","66_Placio-47-min.jpg","","0"
"531","11","80_Placio-38-min.jpg","","0"
"532","11","31_Placio-49-min.jpg","","0"
"534","11","83_Placio-55-min.jpg","","0"
"535","11","86_Placio-50-min.jpg","","0"
"536","11","32_Placio-53-min.jpg","","0"
"537","11","3_Placio-51-min.jpg","","0"
"538","11","15_Placio-52-min.jpg","","0"
"541","35","69_ak_mansion-min.jpg","","0"
"543","31","3_MAN_9697-min_1.jpg","yes","0"
"544","31","45_MAN_97031-min.jpg","","0"
"545","68","95_placio_37.jpg","","0"
"547","68","59_placio_38.jpg","","0"
"549","68","56_placio_34.jpg","","0"
"550","68","30_placio_31.jpg","","0"
